"Feature","Mean_Abs_SHAP_Overall","Mean_Abs_SHAP_Fog","Mean_Abs_SHAP_NonFog"
"dewpoint_dep",0.890954690688018,0.963197635964379,0.886635184369741
"vpd_kpa",0.444465041130096,0.537831060801882,0.438882556773431
"wind_dpdep_interaction",0.343319671543207,0.501510242581214,0.333861236972515
"cos_month",0.302874043235541,0.362789487523187,0.299291615371161
"surface_net_thermal_radiation_hourly",0.281370488680371,0.445876732537249,0.271534431235349
"slope_mean_500m",0.237754816476187,0.229055601688343,0.238274954644647
"dewpoint_C",0.215476194231094,0.204122026890576,0.216155075710503
"proximity_to_coast_km",0.149100701832859,0.113354276906802,0.151238030366922
"elevation_m",0.109749763884761,0.117731295305382,0.109272537004419
"eastness_500m",0.101820998942642,0.10353497036844,0.101718518203868
"slope_30m",0.101094159593465,0.123119333110664,0.0997772437921398
"volumetric_soil_water_layer_1",0.100789602909527,0.100607068039639,0.100800516923633
"moisture_trend_3h",0.0855139167126665,0.0892671574594874,0.0852895052208885
"total_evaporation_hourly_lag1",0.079979221657394,0.0999699173670404,0.0787839501178099
"total_precipitation_hourly",0.0794090414910637,0.199281711488937,0.0722416875928556
"northness_500m",0.078884870597702,0.125329806034818,0.0761078632192633
"eastness",0.070321047191092,0.0868391783858191,0.0693334051204536
"tpi_500m",0.0673969757020838,0.0905866272946103,0.0660104341347462
"eastness_1000m",0.0668847484395767,0.054971000268714,0.0675970880362189
"cos_hour",0.0582917570768648,0.0669815739003626,0.0577721808257834
"air_skin_diff",0.0569439706560117,0.0719389854681746,0.0560473978352882
"tpi_5000m",0.0554857160013395,0.0677568349227802,0.0547520087097732
"t2m_C",0.0495315490796054,0.042791042190036,0.0499345733747321
"northness",0.0490915316806879,0.0554083879391606,0.0487138380468564
"sin_hour",0.044582165524873,0.0540852749860613,0.0440139613742275
"sin_month",0.0445391295558929,0.054070701037806,0.0439692236213863
"surface_net_solar_radiation_hourly_lag1",0.0444238086627813,0.0347414914237641,0.0450027278960643
"wind_speed",0.0430310022547577,0.046317620495937,0.0428344907725052
"tpi_1000m",0.0332809667826268,0.0423825774596438,0.0327367688034957
"total_precipitation_hourly_lag1",0.0331581896528374,0.0545752378653086,0.0318776345104811
"u10_m_s",0.0321136356932347,0.0318547332930686,0.0321291158283407
"skin_temperature",0.030350866895654,0.0271003309913069,0.0305452209647317
"surface_net_solar_radiation_hourly",0.0302331320354147,0.0222576287376645,0.0307099984858935
"total_evaporation_hourly",0.0283687729385021,0.0255003975604443,0.0285402770974385
"northness_1000m",0.0276203758664043,0.0421718094514087,0.026750325385074
"surface_sensible_heat_flux_hourly_lag1",0.0249818858969891,0.0216412943309462,0.0251816245195094
"surface_sensible_heat_flux_hourly",0.020517260687695,0.0122489331302436,0.0210116355085079
"cooling_rate_3h",0.0192510490082159,0.0213609577530237,0.0191248946256763
"v10_m_s",0.0182591972407985,0.0186209687786743,0.0182375664166723
