"Feature","Mean_Abs_SHAP_Seed1","Mean_Abs_SHAP_Seed2","Mean_Abs_SHAP_Average","Correlation","Rank","Relative_Importance"
"dewpoint_dep",0.0365967430102163,0.0367960230343978,0.036696383022307,0.983940677325082,1,12.5884251132416
"wind_dpdep_interaction",0.0237780340464169,0.023717387555927,0.0237477108011719,0.980901820950967,2,8.14647805615468
"vpd_kpa",0.0236672895718239,0.0235068321787983,0.0235870608753111,0.976701309697805,3,8.09136827708143
"surface_net_thermal_radiation_hourly",0.0185477197761975,0.0184287758061153,0.0184882477911564,0.983599331927273,4,6.34225783648894
"cos_month",0.0165572276366967,0.016511371650655,0.0165342996436759,0.978887100031806,5,5.67197025215771
"dewpoint_C",0.0124273580769264,0.0124001521222745,0.0124137550996005,0.974535387046076,6,4.25844766091655
"proximity_to_coast_km",0.0121582570421424,0.0122733348799354,0.0122157959610389,0.976053611210913,7,4.19053923000255
"total_precipitation_hourly",0.0103178481323158,0.0102809168108006,0.0102993824715582,0.98072774735756,8,3.5331276348688
"total_evaporation_hourly_lag1",0.00903790820104492,0.00909987497851454,0.00906889158977973,0.970667006957742,9,3.11101676066142
"slope_mean_500m",0.00832815068663589,0.00831403678460475,0.00832109373562032,0.96379200978662,10,2.85449019014884
"total_evaporation_hourly",0.00794585405938367,0.00796882375658715,0.00795733890798541,0.963417101640021,11,2.72970676382373
"northness_500m",0.00786528595858617,0.00782035428553331,0.00784282012205974,0.963424866328736,12,2.69042193404069
"volumetric_soil_water_layer_1",0.00588721217226133,0.00586478685478436,0.00587599951352284,0.952050472992302,13,2.01571854633362
"eastness_500m",0.00578395300253634,0.00574826008332824,0.00576610654293229,0.957771189372224,14,1.9780205685817
"t2m_C",0.0053436796335718,0.00528633882443151,0.00531500922900166,0.900387921575868,15,1.82327494278669
"tpi_500m",0.00526818106445057,0.00524970534524161,0.00525894320484609,0.96161832371689,16,1.80404190431392
"total_precipitation_hourly_lag1",0.00510657729156847,0.00516564042167798,0.00513610885662322,0.964258772689822,17,1.76190448186012
"v10_m_s",0.00508590110732648,0.0051598822288297,0.00512289166807809,0.963576937848585,18,1.75737042224703
"slope_30m",0.00503583788269035,0.00499954372878419,0.00501769080573727,0.94989296108241,19,1.72128203782448
"air_skin_diff",0.00491286907515376,0.00500491377704044,0.0049588914260971,0.949336083154198,20,1.70111134179552
"elevation_m",0.00449189748922234,0.0044022842955421,0.00444709089238222,0.939603468486573,21,1.52554192157036
"wind_speed",0.00434854029768847,0.00435145340043605,0.00434999684906226,0.925138015195108,22,1.49223452196828
"surface_sensible_heat_flux_hourly_lag1",0.00429295099582987,0.00427341676766451,0.00428318388174719,0.928138485614777,23,1.46931482344845
"moisture_trend_3h",0.00424240568646286,0.00423869454487443,0.00424055011566864,0.954752876396437,24,1.45468962261466
"northness_1000m",0.00398071234127993,0.00384409880145744,0.00391240557136869,0.946549678495127,25,1.34212204286905
"skin_temperature",0.00387384083116552,0.00389278453608999,0.00388331268362775,0.817317732642876,26,1.33214194105814
"tpi_1000m",0.00383527146793188,0.00379716171951174,0.00381621659372181,0.94832110797279,27,1.30912511940957
"tpi_5000m",0.00369007907690728,0.00364101710001965,0.00366554808846347,0.943254308218232,28,1.25743939348351
"eastness",0.00332152175046472,0.00329026267641491,0.00330589221343982,0.92782722970285,29,1.13406208279541
"northness",0.0032793192757092,0.00332648945833528,0.00330290436702224,0.950154683683145,30,1.13303712399076
"cooling_rate_3h",0.00326888158078923,0.00333563705802405,0.00330225931940664,0.931246861134083,31,1.13281584513615
"sin_month",0.00322830186982311,0.00326661243289224,0.00324745715135768,0.929208833842588,32,1.11401636323331
"u10_m_s",0.00318657580484017,0.00316200337559291,0.00317428959021654,0.920123149841594,33,1.08891676789761
"surface_sensible_heat_flux_hourly",0.00300301906616735,0.00300594875077378,0.00300448390847056,0.893789687701308,34,1.03066617390411
"sin_hour",0.00299745498236052,0.00299003510102601,0.00299374504169327,0.94564525484259,35,1.02698228440076
"eastness_1000m",0.00201698865210608,0.00200138379541348,0.00200918622375978,0.872160092646596,36,0.6892366013561
"cos_hour",0.00178378231109837,0.00176984786815306,0.00177681508962572,0.895613318965302,37,0.60952338769285
"surface_net_solar_radiation_hourly",0.00159249728897198,0.00159785418915348,0.00159517573906273,0.763588129163627,38,0.547213340384099
"surface_net_solar_radiation_hourly_lag1",0.00158049234056172,0.00156749325355363,0.00157399279705768,0.749960517228601,39,0.539946687456843
