"Feature","Mean_Abs_SHAP_Overall","Mean_Abs_SHAP_Fog","Mean_Abs_SHAP_NonFog"
"dewpoint_dep",0.776474160531653,0.519997773075937,0.791809240958758
"vpd_kpa",0.392464681883987,0.297758313265869,0.398127307570994
"wind_dpdep_interaction",0.369314734826984,0.274172687422945,0.375003410355418
"surface_net_thermal_radiation_hourly",0.224653143606616,0.256132567543578,0.222770945004783
"cos_month",0.189519685279039,0.23726709671226,0.186664801046701
"slope_mean_500m",0.148707719915219,0.154555875864665,0.148358050525671
"dewpoint_C",0.11603890519992,0.115846789045239,0.116050392092388
"proximity_to_coast_km",0.10066880007538,0.0566620653923688,0.103300024034797
"slope_30m",0.0756585909666374,0.082888947321896,0.075226277889693
"northness_500m",0.067577939441016,0.113134122901696,0.0648540717811051
"total_evaporation_hourly_lag1",0.0595234384992918,0.0740451123243722,0.0586551673954569
"total_precipitation_hourly",0.0578437147051678,0.112772786520591,0.054559428995938
"elevation_m",0.0543935388247086,0.0657433459570538,0.0537149180482183
"eastness",0.0536827378260594,0.0717321508511165,0.0526035382820114
"eastness_500m",0.0517315476245995,0.0485710528123136,0.0519205180113733
"moisture_trend_3h",0.0505519786880993,0.0636544745560144,0.0497685622109588
"t2m_C",0.0450689526639443,0.0198786437567038,0.0465751163186503
"total_precipitation_hourly_lag1",0.0429992448856152,0.0470026325045188,0.04275987676395
"wind_speed",0.0392781752044403,0.0501552142827969,0.0386278218883708
"sin_hour",0.0358622135109021,0.0411096808522619,0.0355484601298731
"sin_month",0.0352807868928635,0.033459856796028,0.0353896628395505
"tpi_500m",0.0350370018561798,0.051187344832639,0.0340713503553684
"northness_1000m",0.0339394890772315,0.0593585983227901,0.0324196451316235
"air_skin_diff",0.0335770799529723,0.0442080224041872,0.0329414410970038
"volumetric_soil_water_layer_1",0.0325324061940092,0.0395022179473426,0.0321156714417015
"tpi_1000m",0.0312446381178268,0.0311846276474164,0.0312482262274355
"eastness_1000m",0.0304488325454732,0.0312220358323538,0.0304026016440307
"skin_temperature",0.0279132798232672,0.0213949290218088,0.0283030210964661
"northness",0.0245622396657949,0.0363961721592496,0.0238546723596724
"cos_hour",0.0234434522544279,0.0309986008604423,0.0229917193964394
"tpi_5000m",0.0224339214486048,0.028899978181084,0.0220473069106256
"surface_net_solar_radiation_hourly",0.0215153820340847,0.00534107674368917,0.0224824662750212
"surface_sensible_heat_flux_hourly_lag1",0.0211352000978356,0.0234975875499562,0.0209939496617326
"total_evaporation_hourly",0.0183615812960166,0.0290422995000946,0.0177229662784565
"u10_m_s",0.0149573971301609,0.0137419751190638,0.0150300689050481
"surface_net_solar_radiation_hourly_lag1",0.00717955932479548,0.0057846047130409,0.00726296560392951
"cooling_rate_3h",0.00570104563089841,0.00638672862383508,0.00566004768972927
"v10_m_s",0.00559203174815917,0.00755385423289546,0.0054747316493642
"surface_sensible_heat_flux_hourly",0.00368462751811196,0.00202812688622168,0.00378367199807203
