model,station,split,latitude,longitude,n_hours,bs_model,bs_clim,bss_overall
LightGBM,NTD,Test,34.12,-119.12,8658,0.186002698621486,0.16967343924001,-0.096239337486276
LightGBM,MMH,Test,37.6241,-118.8388,8716,0.00941244441375923,0.00765791790089592,-0.229112734762806
LightGBM,MHV,Test,35.059,-118.152,8618,0.00171202458881696,0.000989589738403396,-0.730034702642669
LightGBM,PRB,Test,35.6694,-120.6291,8684,0.0560872208029054,0.0535036642499616,-0.0482874694502014
LightGBM,MRY,Test,36.5904,-121.8488,8532,0.0774758802866666,0.0776307170719387,0.00199452988600657
LightGBM,OXR,Test,34.2008,-119.2072,8682,0.126927176616291,0.134353447902111,0.0552741399776459
LightGBM,O22,Test,38.0304,-120.4146,8448,0.0437317438211808,0.0579150372651911,0.244898287452798
LightGBM,MCC,Test,38.667,-121.4006,8578,0.0494406825765977,0.0493053999295353,-0.00274376938947452
LightGBM,NZY,Test,32.6922,-117.2098,8514,0.0759650114237392,0.0829596483846709,0.0843137247701283
LightGBM,SIY,Test,41.7737,-122.4682,8671,0.0400080639180463,0.0318812366107126,-0.254909412911638
LightGBM,SUU,Test,38.2627,-121.9275,8686,0.0446269102962544,0.0522410966512225,0.145750890449387
LightGBM,SAN,Test,32.7339,-117.1845,8772,0.0590004972980405,0.0642154239710953,0.0812098768576561
LightGBM,TVL,Test,38.8939,-119.9953,8742,0.0580357098612308,0.0602074577951401,0.0360710784583996
LightGBM,SCK,Test,37.8942,-121.2383,8769,0.0514430394087588,0.0580032637693405,0.113100952157959
LightGBM,SLI,Test,33.79,-118.052,8640,0.104327303134457,0.124685480207927,0.163276245473976
LightGBM,BLU,Test,39.275,-120.7097,8604,0.115875414164507,0.118312026497519,0.020594798391552
LightGBM,NXP,Test,34.2962,-116.1622,8474,0.00187574663561663,0.00214707806810483,0.126372411194017
LightGBM,RIV,Test,33.9,-117.25,8727,0.047880178211144,0.0524368774368859,0.0868987523375408
LightGBM,SMX,Test,34.9,-120.45,8751,0.162379289745725,0.135384402553577,-0.199394366581223
LightGBM,FAT,Test,36.78,-119.7194,8768,0.0507036712507468,0.049904643578495,-0.0160110886473921
LightGBM,SDM,Test,32.57,-116.98,8760,0.143975956511842,0.133072924666214,-0.0819327588461471
XGBoost,NTD,Test,34.12,-119.12,8658,0.196409506339556,0.16967343924001,-0.157573673400509
XGBoost,MMH,Test,37.6241,-118.8388,8716,0.0107540034751146,0.00765791790089592,-0.404298611487661
XGBoost,MHV,Test,35.059,-118.152,8618,0.00190823790372698,0.000989589738403396,-0.928312137518454
XGBoost,PRB,Test,35.6694,-120.6291,8684,0.0557850763417167,0.0535036642499616,-0.0426402962065691
XGBoost,MRY,Test,36.5904,-121.8488,8532,0.0811471254430626,0.0776307170719387,-0.045296610720023
XGBoost,OXR,Test,34.2008,-119.2072,8682,0.12771011517371,0.134353447902111,0.0494466858285747
XGBoost,O22,Test,38.0304,-120.4146,8448,0.0406400584486803,0.0579150372651911,0.298281407251958
XGBoost,MCC,Test,38.667,-121.4006,8578,0.0504270713086059,0.0493053999295353,-0.0227494631556315
XGBoost,NZY,Test,32.6922,-117.2098,8514,0.0772690797849952,0.0829596483846709,0.0685944156041918
XGBoost,SIY,Test,41.7737,-122.4682,8671,0.0352792891328654,0.0318812366107126,-0.106584715130247
