"station","station_name","state","latitude","longitude","elevation_m"
"900",NA,NA,34.9908,-117.8631,701
"A39","Maricopa - Ak-chin","AZ",32.9908,-111.9185,391.14
"AAT","ALTURAS (WAS O00)","CA",41.4914,-120.5644,1333
"ACV","ARCATA/EUREKA ARPT","CA",40.9781,-124.1086,66
"AJO","Corona","CA",33.8977,-117.6024,162.5
"ALK","Pioneer Airfield","AZ",31.6072,-110.4281,1453
"APC","Napa County","CA",38.2075,-122.2804,7.97
"AUN","AURBURN MUNICIPAL AIRPORT","CA",38.9548,-121.0817,467
"AVQ","Tucson - Marana","AZ",32.4096,-111.2184,615.82
"AVX","AVALON/CATALINA","CA",33.405,-118.4158,488
"AZC","Colorado City","AZ",36.9599,-113.0139,1480.56
"BAB","BEALE AFB/MARYSVILE","CA",39.1361,-121.4366,34
"BAN","Usmc Mtn Warfare Tra","CA",38.3636,-119.52,2067
"BFL","BAKERSFIELD/MEADOWS","CA",35.4344,-119.0542,150
"BIH","BISHOP AIRPORT","CA",37.3731,-118.3636,1263
"BLH","BLYTHE AIRPORT","CA",33.6192,-114.7169,121
"BLU","Blue Canyon - Nyack","CA",39.275,-120.7097,1611
"BUR","BURBANK/GLENDALE","CA",34.2007,-118.3587,236
"BXK","Buckeye","AZ",33.4204,-112.6862,311.2
"BYS","BICYCLE LAKE","CA",35.2805,-116.63,716
"C83","Byron","CA",37.8276,-121.6244,15.75
"CCB","Cable","CA",34.1116,-117.6874,433.58
"CCR","Concord/Buchanan","CA",37.9916,-122.0526,4.87
"CEC","Crescent City","CA",41.7837,-124.238,19.57
"CGZ","CASA GRANDA (AWOS)","AZ",32.9549,-111.7668,446
"CHD","CHANDLER MUNICIPAL AIRPORT","AZ",33.27,-111.81,379
"CIC","CHICO MUNICIPAL","CA",39.7954,-121.8584,73
"CMA","CAMARILLO (AWOS)","CA",34.2137,-119.0944,23
"CMR","Williams","AZ",35.3054,-112.1947,2036
"CNO","CHINO AIRPORT","CA",33.9753,-117.6361,198
"CPU","San Andreas","CA",38.1461,-120.6482,405.21
"CQT","LOS ANGELES DOWNTOWN/USC","CA",34.0235,-118.2912,56
"CRQ","CARLSBAD/PALOMAR","CA",33.13,-117.28,100
"CVH","Hollister","CA",36.8933,-121.4103,70.1
"DAG","BARSTOW-DAGGETT","CA",34.8536,-116.7858,587
"DLO","Delano","CA",35.7456,-119.2365,95.71
"DMA","DAVIS-MONTHAN AFB","AZ",32.166,-110.883,824
"DUG","DOUGLAS BISBEE INTL","AZ",31.469,-109.6037,1265
"DVO","Novato","CA",38.1436,-122.5561,1
"DVT","DEER VALLEY/PHOENIX","AZ",33.6883,-112.0826,450
"DWA","Yolo County","CA",38.5794,-121.8569,27.26
"E16","San Martin","CA",37.0816,-121.5968,86
"E77","San Manuel","AZ",32.6341,-110.6467,999
"EDU","University","CA",38.5315,-121.7865,21
"EDW","EDWARDS AFB","CA",34.9054,-117.8837,702
"EED","NEEDLES AIRPORT","CA",34.7664,-114.6233,302
"EKA","EUREKA","CA",40.8097,-124.1603,18
"EMT","EL MONTE","CA",34.086,-118.035,90
"F70","Murrieta","CA",33.5742,-117.1285,409.44
"FAT","FRESNO AIR TERMINAL","CA",36.78,-119.7194,100
"FCH","Fresno - Chandler","CA",36.7321,-119.8203,95.92
"FFZ","MESA/FALCON FIELD","AZ",33.4608,-111.7283,424
"FHU","FORT HUACHUCA/LIBBY","AZ",31.5883,-110.3442,1438
"FLG","Flagstaff - Pulliam","AZ",35.1403,-111.6722,2137
"FOT","Fortuna","CA",40.5539,-124.1327,112.34
"FUL","FULLERTON MUNICIPAL","CA",33.87,-117.98,29
"GBN","GILA BEND (AAF)","AZ",32.8875,-112.72,262
"GCN","GRAND CANYON PARK","AZ",35.9461,-112.1547,2014
"GEU","GLENDALE","AZ",33.5269,-112.2951,325
"GOO","Grass Valley","CA",39.224,-121.0031,949.51
"GXA","Palmdate - Gray Butte","CA",34.5666,-117.6704,923
"GXF","Gila Bend Af Aux","AZ",32.8875,-112.7199,259.44
"GYR","GOODYEAR MUNICIPAL","AZ",33.4224,-112.3736,295
"HAF","Half Moon Bay","CA",37.5136,-122.4996,9.37
"HHR","HAWTHORNE MUNICIPAL","CA",33.9228,-118.3352,19
"HII","Lake Havasu City","AZ",34.5711,-114.3583,226.63
"HJO","Hanford","CA",36.3114,-119.6232,76.37
"HMT","Hemet","CA",33.734,-117.022,461.65
"HWD","Hayward","CA",37.6588,-122.1212,8.89
"IFP","BULL HEAD CITY","AZ",35.1574,-114.5595,167
"IGM","Kingman","AZ",35.2577,-113.933,1033
"INW","WINSLOW (AUT)","AZ",35.0219,-110.7225,1488
"IPL","IMPERIAL","CA",32.8342,-115.5787,-15
"IWA","WILLIAMS AFB/CHANDL","AZ",33.3078,-111.6555,422
"IZA","SANTA YNEZ","CA",34.6068,-120.0756,205
"JAQ","Jackson","CA",38.3742,-120.7943,511.72
"JTC","Springerville","AZ",34.1294,-109.3109,2148.36
"L08","Borrego Springs","CA",33.259,-116.321,160.02
"L18","Fallbrook","CA",33.3542,-117.2509,213.53
"L35","Big Bear City","CA",34.2638,-116.856,2058
"L52","Oceano County","CA",35.1015,-120.6224,5
"LAX","LOS ANGELES INTL","CA",33.9382,-118.3865,32
"LGB","LONG BEACH AIRPORT","CA",33.8118,-118.1472,12
"LGF","Laguna AAF","AZ",32.86,-114.3967,108.03
"LHM","Lincoln","CA",38.9092,-121.3513,36.9
"LPC","LOMPOC (AWOS)","CA",34.6656,-120.4675,27
"LUF","LUKE AFB/PHOENIX","AZ",33.535,-112.383,332
"LVK","Livermore","CA",37.6931,-121.8149,117.81
"MAE","Madera","CA",36.9849,-120.1107,76.45
"MCC","Sacramento McClellan","CA",38.667,-121.4006,23
"MCE","Merced","CA",37.286,-120.5179,45.54
"MER","MERCED/CASTLE AF","CA",37.3805,-120.5682,57
"MHR","MATHER FIELD","CA",38.5553,-121.2973,29
"MHS","Mount Shasta City","CA",41.3149,-122.3171,1080.77
"MHV","MOJAVE","CA",35.059,-118.152,849
"MMH","MAMMOTH/JUNE LAKES","CA",37.6241,-118.8388,2173
"MOD","MODESTO CITY/SHAM","CA",37.6258,-120.9544,30
"MRY","Monterey Peninsula","CA",36.5904,-121.8488,45.86
"MYF","SAN DIEGO/MONTG","CA",32.8157,-117.1396,124
"MYV","Marysville/Yuba County","CA",39.102,-121.5688,17
"MZJ","Pinal Airpark","AZ",32.51,-111.3279,570.95
"NFG","CAMP PENDLETON MCAS","CA",33.3011,-117.3551,24
"NID","CHINA LAKE (NAF)","CA",35.6855,-117.692,696
"NJK","EL CENTRO NAF","CA",32.8292,-115.6717,-17
"NKX","MIRAMAR NAS","CA",32.8645,-117.1366,128
"NLC","LEMOORE NAS/REEVES","CA",36.333,-119.9521,72
"NOZ","Wellton","AZ",32.5095,-114.4673,94.97
"NRS","IMPERIAL BEACH/REAM","CA",32.5631,-117.11,7
"NSI","SAN NICOLAS ISLAND","CA",33.2398,-119.4582,154
"NTD","PT MUGU NAWS","CA",34.12,-119.12,2
"NUC","SAN CLEMENTE (AWOS)","CA",33.0228,-118.5885,55
"NUQ","MOFFETT NAS/MTN VIE","CA",37.4059,-122.049,12
"NXF","Camp Pendleton","CA",33.2856,-117.4565,27
"NXP","TWENTYNINE PALMS","CA",34.2962,-116.1622,626
"NYL","YUMA MCAS","AZ",32.6566,-114.606,65
"NZY","NORTH ISLAND NAS","CA",32.6922,-117.2098,8
"O05","Chester","CA",40.2824,-121.2412,1379.67
"O22","Columbia","CA",38.0304,-120.4146,646
"O32","Reedley","CA",36.671,-119.451,118.2
"O54","Weaverville","CA",40.7473,-122.9223,716
"O69","Petaluma","CA",38.2578,-122.6053,27.5
"O86","Trinity Center","CA",40.9828,-122.6937,729.64
"OAK","OAKLAND","CA",37.7213,-122.2207,3
"OAR","Fort Ord Fritzsche AAF","CA",36.6815,-121.7617,33.46
"OKB","OCEANSIDE MUNICIPAL (WAS L32)","CA",33.22,-117.35,9
"OLS","NOGALES INTL AIRPORT","AZ",31.4208,-110.8458,1206
"ONT","ONTARIO INTL ARPT","CA",34.056,-117.6012,287
"OVE","OROVILLE","CA",39.49,-121.62,58
"OXR","OXNARD","CA",34.2008,-119.2072,13
"P08","Coolidge","AZ",32.936,-111.4265,473.33
"P33","Wilcox","AZ",32.2454,-109.8946,1276
"P52","Cottonwood","AZ",34.7301,-112.0351,1079
"PAN","Payson","AZ",34.2568,-111.3393,1571.9
"PAO","PALO ALTO AIRPORT","CA",37.4611,-122.1151,2
"PGA","Page","AZ",36.9261,-111.4484,1304
"PHX","PHOENIX/SKY HARBOR","AZ",33.4343,-112.0116,337
"PMD","Palmdate","CA",34.6294,-118.0845,774
"POC","LA VERNE/BRACKETT","CA",34.0917,-117.7818,308
"PRB","Paso Robles","CA",35.6694,-120.6291,251.19
"PRC","PRESCOTT/LOVE FLD","AZ",34.65,-112.42,1537
"PSP","PALM SPRINGS RGNL","CA",33.8297,-116.5067,141
"PTV","Porterville","CA",36.0273,-119.0629,133
"PVF","Placerville","CA",38.7242,-120.7533,788
"RAL","RIVERSIDE MUNICIPAL","CA",33.9519,-117.4451,249
"RBL","RED BLUFF MUNICIPAL","CA",40.1519,-122.2536,108
"RDD","REDDING MUNICIPAL","CA",40.509,-122.2934,153
"RHV","SAN JOSE/REID/HILLV","CA",37.33,-121.82,41
"RIV","MARCH AFB/RIVERSIDE","CA",33.9,-117.25,469
"RNM","RAMONA AIRPORT","CA",33.0392,-116.9153,425
"RQE","WINDOW ROCK (WAS P34)","AZ",35.6575,-109.0614,2054
"RYN","TUCSON/RYAN FLD","AZ",32.1422,-111.1746,737
"SAC","SACRAMENTO/EXECUTIV","CA",38.5069,-121.495,8
